x,y
-6.784290104546279,-1.7384521360779643
-6.787766933247926,-1.741419412092099
-6.793702587979869,-1.7464358362099495
-6.800294719246926,-1.751400379453928
-6.808606144566271,-1.757706816651455
-6.817279119553232,-1.764206028673846
-6.826047895090952,-1.7682150981746367
-6.834576775238132,-1.7724072582199633
-6.842980375472103,-1.7760017555453584
-6.850312093562417,-1.77819764566594
-6.85855630764026,-1.7801830186154375
-6.865400092157193,-1.7814753174436826
-6.873326372115321,-1.7824135862652595
-6.88151022822018,-1.7836539502782713
-6.888348640592167,-1.7842426395560333
-6.895591172157335,-1.7846751716832634
-6.903529852497146,-1.7861496472232214
-6.910497111145648,-1.7876538910434374
-6.919238070270988,-1.7915407578568707
-6.927169541395093,-1.7955427094600318
-6.936620902249464,-1.8015346869957929
-6.946358023194564,-1.8084138006946548
-6.9555878133753986,-1.8149953279140025
-6.966540850532707,-1.8238362831190749
-6.978089868109063,-1.8336214738461911
-6.990160142303758,-1.8435244950499479
-7.00391913507821,-1.8556442487804483
-7.018367377189353,-1.869298811555588
-7.033557096920774,-1.882812991565091
-7.049021295833965,-1.8970810791192392
-7.066376172891344,-1.9133315534542168
-7.0837687868993715,-1.9295455873077394
-7.1012535606862555,-1.9457790668663326
-7.120563782529785,-1.9640184913717595
-7.139762838380837,-1.9820316671461427
-7.159310330729971,-2.0001716658445954
-7.179299093375593,-2.0188957265653014
-7.19889879018149,-2.0375988208691527
-7.218582229344709,-2.0560881355657745
-7.238020487768163,-2.074258167274553
-7.256751965865741,-2.0916015824111294
-7.275633767242523,-2.1089495464279535
-7.2935321647038664,-2.1250043318504166
-7.310874109163523,-2.140125950016125
-7.328294298051649,-2.15496933078932
-7.343999020641347,-2.1675510235500846
-7.359104500950371,-2.178201022342239
-7.373678921298968,-2.1877667690923066
-7.387692689633293,-2.1948166144041212
-7.398527540100119,-2.198751052332316
-7.409296181879117,-2.2031011706550334
-7.4193176921536255,-2.2056076103684727
-7.425169990191466,-2.2070085228910252
-7.429471968996128,-2.2073270346475278
-7.432117877334811,-2.20621601686593
-7.43361736100679,-2.204056002283057
-7.434401832091674,-2.2034700586273037
-7.435021357520582,-2.2029860054618045
-7.435218610633161,-2.202594752685254
-7.436146182330431,-2.203174809998445
