x,y
-1.7824077865434427,-4.739461600203116
-1.7792327660401852,-4.741087573524457
-1.7763594495455517,-4.742099666841994
-1.7736222436695825,-4.742767992813516
-1.771828400169605,-4.74450360671356
-1.7698311095547654,-4.7465675185542935
-1.7666709551176019,-4.748493582688393
-1.7644796708136972,-4.750865481047274
-1.7624972730414181,-4.7524374701528425
-1.760335244113854,-4.754049508677876
-1.75831741227751,-4.756564877904545
-1.756290764905132,-4.7581573559951025
-1.7542339260066122,-4.759887412577647
-1.751958393499041,-4.7616683145753536
-1.7498107884665743,-4.762567295070547
-1.74841520229401,-4.764557405229611
-1.746873753797932,-4.766221872186949
-1.745113917291483,-4.766850582932113
-1.743493261489461,-4.768946498822964
-1.7425127749282332,-4.77094107144229
-1.7416582765174453,-4.772657550624835
-1.7409848064603242,-4.775334918062558
-1.740900792331393,-4.777735553178923
-1.7406717417194484,-4.7800184760928435
-1.7406375185225806,-4.782602765169312
-1.7406445075586714,-4.78433849145165
-1.7408975902582826,-4.786411519489498
-1.7408208101255211,-4.788611611123065
-1.7405778832736232,-4.7906172375128415
-1.7410628909878931,-4.793446510777313
-1.7426990841078995,-4.795388583183764
-1.743753267737313,-4.796711761486034
-1.7450180151911938,-4.798681868619191
-1.7465107295404183,-4.800857115847401
-1.7490538737556023,-4.80160071551462
-1.752280927271174,-4.8025428862098085
-1.75585069681596,-4.80385776509785
-1.7593950575152164,-4.804877318957508
-1.7626413998123753,-4.805213684498835
-1.7660135215111152,-4.805855103008201
-1.7696998480387591,-4.8067471748352215
-1.7731190302147346,-4.807321300302008
-1.7763431336720095,-4.808166887833368
-1.7799294046160328,-4.80943468254221
-1.7832667838317793,-4.810467114285581
-1.786095694792671,-4.811629421392082
-1.7887780684147052,-4.812803690872158
-1.7917545016303964,-4.814037659308922
-1.7944587604372442,-4.814941501538866
-1.7971858023967646,-4.81599677173209
-1.799820042647893,-4.817503496295789
-1.8023203297977226,-4.818637531182274
-1.8044885717353747,-4.819631243072927
-1.8069196556269282,-4.8209038874323875
-1.8088313443712123,-4.822501020517657
-1.8102376792418968,-4.823545392524943
-1.8121325287101608,-4.824732763303041
-1.8140166046144888,-4.826887356553777
-1.815995566548042,-4.829102394484521
-1.8176102178725888,-4.830984504976733
-1.8196260125723538,-4.833265611449433
-1.8216036033636607,-4.836052014793021
-1.823262313849868,-4.838427401507229
-1.8250423792095878,-4.840905757264876
-1.8273603404097023,-4.843800922321508
-1.8293237458755847,-4.84633339510173
-1.8315082500509103,-4.849023384499382
-1.8339391467741177,-4.852082705031552
-1.8370347711596262,-4.855131805179518
-1.8394755607625595,-4.8579760647375405
-1.8416607964123812,-4.86005915643363
-1.8444833509028484,-4.8627833416609745
-1.8473047661276865,-4.865492142821162
-1.8496764185421153,-4.867421021115528
-1.8523316609895488,-4.870059706593494
-1.855430502089414,-4.87316532254705
-1.8580123507444164,-4.875720897566311
-1.8608893311068486,-4.8782485369105535
-1.8640763598963543,-4.88110931613886
-1.8669764031984344,-4.883916480896924
-1.8697901809245288,-4.886859660015595
-1.8722812694633666,-4.8903705172931975
-1.875249227680741,-4.894684375927379
-1.87809698883528,-4.898852199439623
-1.879567211320588,-4.903770093378598
-1.881185052849822,-4.909860928564526
-1.8825662891813029,-4.915529978488693
-1.8837334419912146,-4.921057682895937
-1.8858603427490124,-4.927616516776239
-1.8864392603749438,-4.935231966074312
-1.8866186443346384,-4.942495664196152
-1.8868308389243906,-4.950225244021803
-1.8874004120352015,-4.957245183428586
-1.8877793596570729,-4.964034463258168
-1.8879748139376094,-4.971137857430802
-1.888298227005304,-4.977705239131717
-1.8884691130804119,-4.984954541726062
-1.8888926970675766,-4.99232463214883
-1.8891852948547505,-4.998559189611537
-1.8896230570221995,-5.005153976191512
-1.890507329338502,-5.011689241579721
-1.891213223358029,-5.01729810644687
-1.892031029238252,-5.023743751776763
-1.8928920911204992,-5.029573387265136
-1.8933415839299643,-5.0346370880038815
-1.8949323826146764,-5.039654057758015
-1.8963930243943226,-5.044294234933983
-1.8977677513180469,-5.048451873393443
-1.8988007761221752,-5.052990146545648
-1.8997507947462424,-5.056746356422923
-1.900372022841856,-5.060190007765259
-1.9008601593332184,-5.063582201410352
