x,y
-1.9342083084909982,-4.652456171414578
-1.934555895222514,-4.655132914973153
-1.9345859357439252,-4.658012486983001
-1.9344197742439366,-4.661523138245999
-1.9342170721669656,-4.6651108633868
-1.934299396041877,-4.668947489011368
-1.9342284358550417,-4.672235861596463
-1.9345437813391708,-4.676483961494133
-1.934600858584408,-4.680713824724397
-1.9341252202111918,-4.684377451152566
-1.9342382620078415,-4.688676011861851
-1.9345466616070566,-4.692728828095812
-1.9348131720088693,-4.695538784090566
-1.9349247240239513,-4.698735965645419
-1.9355870279455907,-4.702302383753932
-1.9357546290543513,-4.705257391591353
-1.9358578204192252,-4.708229259985642
-1.936188518433864,-4.711435655579011
-1.936612417394322,-4.714193151010764
-1.9376511580812799,-4.716652926643579
-1.9388250556098283,-4.7186384665398
-1.940793809676395,-4.721083071524285
-1.9425968298691252,-4.723396529876434
-1.9449030837988988,-4.724432068791879
-1.9473216197706376,-4.725871383096387
-1.9500522924691988,-4.727635745352769
-1.9528522102799528,-4.727898246645315
-1.9557923024966053,-4.728032360301858
-1.9592742829426129,-4.728742587671039
-1.9624189147543194,-4.729181543256741
-1.9655016098382434,-4.728728521662602
-1.9687509637972607,-4.72849514238183
-1.971976181901901,-4.728595558443837
-1.974174765734653,-4.728469487652724
-1.9765307026685142,-4.727969938991512
-1.9794097362321468,-4.728015781071643
-1.9821113792823313,-4.727629649680238
-1.9836662198847934,-4.727504009819863
-1.9855709026816826,-4.727779465517781
-1.9875928021281546,-4.727897263700137
-1.9892110476954392,-4.7275587130326375
-1.9914081195113615,-4.727636686760089
-1.993730422732102,-4.727501384621835
-1.9957732156265628,-4.727439421452973
-1.9976112125174754,-4.727352732532158
-1.9996989802111658,-4.726958991631421
-2.0020042257469868,-4.7265803196067
-2.0038300278367296,-4.726125811075009
-2.0058717357980504,-4.7250995097866255
-2.0085571517734735,-4.724386378807119
-2.0113392743695577,-4.723757536605597
-2.0138856698698016,-4.722515246443593
-2.016943905615479,-4.721857136746828
-2.0206294228249986,-4.720634044237785
-2.0238375408774583,-4.718714116977739
-2.0270945973148002,-4.716837856522596
-2.0305595076619767,-4.715373607406029
-2.0328153395251767,-4.713403419752634
-2.0347711120198433,-4.711676211576379
-2.0374500281045336,-4.709735761905424
-2.0401185279037586,-4.707801675255846
-2.0426513704582936,-4.7062919088326645
-2.0450041042445566,-4.7045831646453555
-2.0478408987436425,-4.703608199483164
-2.050131309585005,-4.702678735002526
-2.051334466933754,-4.701374524403804
-2.052665938027983,-4.700647659370467
-2.0541952705908737,-4.7001474090739
-2.0554111348307664,-4.699140358275532
-2.0557110579181415,-4.698772116577025
-2.0561218981833513,-4.69885798859933
-2.056093346853482,-4.698378584705036
-2.0562094768040065,-4.698026058956277
-2.056195597231611,-4.698083643879313
-2.056293125711128,-4.698050346562997
-2.056175076234562,-4.698308046697911
-2.054783465844798,-4.698591221110891
-2.053307953850088,-4.699602853181371
-2.051779567075011,-4.700339113711804
-2.0501374631609535,-4.700060400631305
-2.0487382517096844,-4.700714502088341
-2.0479974598849893,-4.701571605847174
-2.047136262845095,-4.700829364846996
-2.0472242894319295,-4.700877718802873
-2.0471814565034765,-4.7009075266467235
-2.047265101620714,-4.700764782166187
-2.047450937270079,-4.7011539138223375
-2.0475499316816244,-4.700568042697485
-2.0485623936651574,-4.700165253551498
-2.04863082536738,-4.699563997745617
-2.04867336479682,-4.698161496333278
-2.0484012569152235,-4.697333019195165
-2.047958987706782,-4.696314834175751
-2.047610351237389,-4.694876565306807
-2.0476118039185103,-4.694065863023413
-2.046974798543261,-4.693785066764532
-2.0456063706205083,-4.692634779121298
-2.044609143115499,-4.691894140905535
-2.043337101510166,-4.691167566955296
-2.0420155853220567,-4.690360014051381
-2.0402078572182836,-4.689623980248977
-2.038816446514095,-4.688914047638199
-2.037325389490379,-4.68809408167814
-2.035838202055523,-4.687687028231481
-2.0342649771882013,-4.686521343515974
-2.032828229086342,-4.686252111606495
-2.0313774814564503,-4.685682489217471
-2.0301091077316746,-4.684506943566972
-2.0292328269854307,-4.6834664335321055
-2.0281874495240024,-4.682645378369179
-2.026750270091749,-4.681253491164228
-2.0257766253013663,-4.6799222841996135
-2.025086097596719,-4.678916515638535
-2.023860497484676,-4.677076590565568
-2.0230461611662087,-4.6755971186958005
-2.0233843177618405,-4.673594128347408
-2.024186883017561,-4.671556610664584
-2.0247201589943224,-4.669506487881351
-2.0250499884797777,-4.666926178151757
-2.025857171155626,-4.664706548266875
-2.0262723470610773,-4.662556755398139
-2.0263815664387237,-4.659674138925734
-2.026646600863929,-4.657533137338715
-2.027406711073767,-4.655475183139678
-2.027648167378351,-4.6528589405865475
-2.0276589281595156,-4.650275515519019
-2.0285135255538367,-4.648565332221829
-2.0288950170641327,-4.646814873850533
-2.0292711100901766,-4.645071358248491
-2.0298315670678324,-4.643508841941555
-2.031159311911047,-4.6423892239501185
-2.0318255741699374,-4.640815021822226
-2.0318477197270197,-4.639621311546677
-2.032429569698467,-4.638849647965175
-2.032335443663963,-4.638722493711062
-2.03143882923305,-4.637656738423024
-2.030730320832319,-4.6371729173241425
-2.0303965087387206,-4.637159803992939
-2.0290951869982883,-4.637213054296611
-2.0284938464287534,-4.638037679190728
-2.0279389183466994,-4.639193783970227
-2.0277090920261527,-4.640133595179464
-2.0280433686887203,-4.641243926914402
-2.0277391400545692,-4.642005787327303
-2.0274006056878657,-4.642940629588702
-2.027600525815104,-4.643556054725768
-2.028018241199099,-4.643861085013862
-2.028644688359407,-4.644513692974909
-2.0295982048389174,-4.645029809392965
-2.030037589580864,-4.64498345830119
-2.0304429718285975,-4.645273376422092
-2.0310531922862025,-4.64600870328631
-2.0313883952113114,-4.646142302142737
-2.0318779000754104,-4.646395926116752
-2.032505227342758,-4.647417788312418
-2.0326556749523297,-4.647760518390042
-2.0327193635636385,-4.648735473884254
-2.0331260813216563,-4.649386301898005
-2.0333772130664935,-4.6504184003029465
-2.0332495193794116,-4.651836942572393
-2.0331100813635943,-4.652867219082259
-2.032117056192872,-4.654085012852318
-2.0314382460991283,-4.655940027461974
-2.030643146122443,-4.65713029398951
-2.0296908480645555,-4.658547410945009
-2.0289917228854906,-4.660785230904703
-2.0267439003865295,-4.662775129220911
-2.0246044361793025,-4.6654698844586475
-2.022746794087704,-4.668949376781424
-2.0208204256948776,-4.672120605327992
-2.019185188203469,-4.675409584288013
-2.0176825836443633,-4.6791708399142555
-2.015995966054769,-4.68254803867325
-2.0142287600375988,-4.686817867632914
-2.0121964907743335,-4.690969437307195
-2.0108450013304022,-4.695000554247199
-2.0095111706127837,-4.699817483631584
-2.0081412351114096,-4.703789014313177
-2.006869176652723,-4.708042344590711
-2.0060268906877283,-4.713248764528944
-2.004638171874056,-4.717516380290881
-2.0029394321226675,-4.722449638677165
-2.0023315048973287,-4.727693420975634
-2.001784589799131,-4.732508699427795
-2.0015875664249227,-4.737299445268054
-2.0013806506033944,-4.742487448970277
-2.000911332285465,-4.747190423799416
-2.0005999152714096,-4.752387230216642
-2.0000398437570017,-4.756978898063562
-1.99941314713633,-4.761404593104768
-1.9995554228411783,-4.766972584506334
-1.9993186113738524,-4.771521985481778
-1.9982439208407863,-4.776704367879515
-1.9979154704775746,-4.782489642629374
-1.9975108207587957,-4.787606969099134
-1.9974459256599495,-4.7927093616172245
-1.9976505582049355,-4.798617880350919
-1.997403618186184,-4.804272529415193
-1.9967125381865438,-4.811151527694452
-1.9961457429203113,-4.8179289535876
-1.9958399105636648,-4.824071153082723
-1.9954744735369678,-4.831005042421499
-1.9948831901420156,-4.837988882791725
-1.9942629375832044,-4.844580484777294
-1.9942550538081014,-4.851996915072109
-1.9941325588665761,-4.858706255593628
-1.993879475524149,-4.865630492920469
-1.9937300342497517,-4.873414028407943
-1.9942502876422865,-4.879919059090126
-1.994961383285023,-4.8866357838545555
-1.9958687026930848,-4.894089319338571
-1.997071338395671,-4.901221199876474
-1.9981323654629535,-4.907887028422915
-1.9994417467466488,-4.91529261001965
-1.999931515012704,-4.923124421903784
-2.000381521787615,-4.931348301116901
-2.0017889507376503,-4.939080465776671
-2.002894934583984,-4.945604467302697
-2.0039930170690154,-4.95304884039276
-2.0046347130345805,-4.960400765915448
-2.0053887843973968,-4.967160881008774
-2.006601706220125,-4.974779055133397
-2.0079576110920208,-4.98184757863742
-2.008957242772547,-4.9883992918038915
-2.010524043668411,-4.995377914615104
-2.0121367285116634,-5.001792895582854
-2.0133765135605217,-5.007896640455973
-2.0148900987658367,-5.014895484238511
-2.0163582731759675,-5.021040499853067
-2.0182087860535134,-5.027080816783285
-2.020260277779801,-5.033199823094845
-2.022014900527954,-5.038780303959894
-2.0237866081827347,-5.045241319327133
-2.025225960023078,-5.051329472425462
-2.026595537707219,-5.05640167633411
-2.028354874815577,-5.062956519981823
-2.030338949041959,-5.069212638362462
-2.0319743651860516,-5.074662516047819
-2.0341314867825706,-5.080280240706346
-2.03614654735601,-5.085854057466338
-2.037664946245079,-5.090705779912084
-2.039314279561627,-5.096285849612207
-2.0410661713135654,-5.100872493342529
-2.042573800837633,-5.1061440542774035
-2.0434871702347364,-5.111337646765373
-2.0440092847670224,-5.11612246685143
-2.0445940682097437,-5.121341505024903
-2.0449815946502965,-5.125970346769924
-2.0454616318006855,-5.129903887593977
-2.0462059201155114,-5.134483806254033
-2.047089589739124,-5.139173914604838
-2.047563234507361,-5.143200574138028
-2.0470608815021882,-5.148198980922882
-2.0468191578938524,-5.152783955740873
-2.046270888301259,-5.156695112040537
-2.0458177138614273,-5.160712397914257
-2.045498583482421,-5.1642106264769705
-2.04529321305726,-5.167832826127407
-2.0443215634932423,-5.171486970367495
-2.043516548902759,-5.174520722153766
-2.0436552823161143,-5.177317860647496
-2.0438400787238153,-5.179861254761392
-2.0436089753633135,-5.181925627590595
-2.0436685493430153,-5.184331594699838
-2.044448883161354,-5.185872950748468
-2.0447760467623493,-5.186575966432797
-2.0451586649741804,-5.1873715570748855
-2.045980635531112,-5.188664738705422
-2.0462090841457385,-5.189537711461257
-2.0463738252789967,-5.190301588335397
-2.0469352108829435,-5.191279718548922
-2.047370989351218,-5.192388973891562
-2.0476467691320113,-5.193648409241461
-2.0475608832685728,-5.194415761703406
-2.0481185906614026,-5.195868923424284
-2.0481951232184725,-5.197649915541161
-2.0475452959448113,-5.1989825663852045
-2.0468929844963197,-5.200858989720038
-2.046442547219747,-5.202870082528172
-2.04540080431314,-5.204264385272291
-2.043913083972657,-5.206048882370598
-2.043048739415334,-5.207939402639959
-2.0416040912957265,-5.2092390425933575
-2.039496152885741,-5.2106030462863915
-2.0381111556163964,-5.212660465568933
-2.036854353069241,-5.2142240167638985
-2.0350145373598294,-5.215287413140396
-2.0335057669159906,-5.216679659075116
-2.0317799925039624,-5.2187830069048955
-2.030019830260901,-5.220208180009953
-2.028700722926145,-5.221000429179532
-2.0275197206472053,-5.222389654147664
-2.02640194804503,-5.223861601319795
-2.0249978827650508,-5.224586118726486
-2.0241738456911977,-5.2251833777074435
-2.0236035099770646,-5.226104013041074
-2.0225448519849047,-5.226690331172216
-2.0214748875563964,-5.227304074220878
-2.019894233145312,-5.228183913209122
-2.0184968863496215,-5.229334425521366
-2.0166369218022444,-5.230004878539017
-2.014604025239554,-5.2306923649635415
-2.0141228468207246,-5.231048864288276
-2.013046174667641,-5.231241456282697
-2.012145426247344,-5.231124081167502
-2.011683210616113,-5.231873347143279
-2.0110608917413475,-5.232679023831449
-2.0099924496839785,-5.232910610561813
-2.00933321039306,-5.233675042759231
-2.0087381607218657,-5.23449401297084
-2.0070563965420654,-5.235793057017926
-2.005092311615114,-5.2366675748143106
-2.003439306607614,-5.237901622247946
-2.0016623418807398,-5.239178245049804
-1.9992286159881516,-5.240558101649613
-1.9970776943401791,-5.241930884313889
-1.9953251753810333,-5.243849492793567
-1.9931629289948414,-5.245978314801681
-1.9906357362496054,-5.247275838192156
-1.9884847194334234,-5.249016914812232
-1.9855665666346405,-5.250523467915072
-1.9824124414707733,-5.2508109036941475
-1.980608214726273,-5.250409787772572
-1.9793744136506901,-5.249774586595094
-1.9773562086298282,-5.248306554178076
-1.9748875118593971,-5.2462962673037605
-1.9733829207533997,-5.244126761769591
-1.9718217871215058,-5.241506724684023
-1.9703327680870886,-5.238558727755764
-1.9684308293456083,-5.235144702280324
-1.967559967052385,-5.231483544006058
-1.9664031314458938,-5.228029807421231
-1.9650254100948716,-5.223355109834761
-1.964416686231836,-5.219102505875919
-1.9634676937217108,-5.2145606373960955
-1.9620629362984754,-5.20937019601076
-1.9609875696135806,-5.205140839298131
-1.9601556152725457,-5.200381575779764
-1.9587466860484921,-5.195704670323866
-1.9568423211288344,-5.19200347663045
-1.9541741753337767,-5.188453629501818
-1.9516113466074727,-5.18462928750304
-1.9492560325789257,-5.181201671038905
-1.9464073812278027,-5.176751646625935
-1.9435940431606136,-5.173251845269941
-1.9409041411184447,-5.169428555458356
-1.9380830611867224,-5.164418106260667
-1.935389296582302,-5.160079122107538
-1.9331946036241812,-5.1556207305807344
-1.9307187494766742,-5.149582010647476
-1.9288093431354518,-5.143972525820957
-1.9271123512966162,-5.137738948653921
-1.9250521434401322,-5.130714875179424
-1.9232750858266436,-5.12435876382117
-1.9212401975771307,-5.117078468756964
-1.9190588041970666,-5.1099289230716485
-1.9163189476168574,-5.10224391601128
-1.9139551888295723,-5.0941534865852764
-1.9114579974030734,-5.086383691712482
-1.9085117243929035,-5.078123866014502
-1.9073668058202726,-5.068021253859339
-1.9062941378585192,-5.059098948319802
-1.9056053190935387,-5.0496440651425045
-1.9044653206687319,-5.039489791532368
-1.904180456222493,-5.0294077451465435
-1.9039410460528559,-5.0188836311905565
-1.9031892950939642,-5.0078109635526005
-1.9024946200171808,-4.9963793725458405
-1.902800802804307,-4.985022539280762
-1.903220483684938,-4.973792595339207
-1.9042354873460263,-4.962737894597307
-1.9051836988405748,-4.9515669766422405
-1.904952583845594,-4.941686229273917
-1.9044355974978846,-4.932596167044627
-1.904057015029572,-4.922635330532569
-1.9043845538556459,-4.913660410928936
-1.9051872855582312,-4.904209429166868
-1.9056667483612248,-4.894182096266759
-1.9059668951264959,-4.885279791044254
-1.9068662649230996,-4.876555983127989
-1.9068534307291605,-4.867960334073855
-1.9068569989921715,-4.859380073933299
-1.9070037740044439,-4.85115652144565
-1.907178708843817,-4.842666799048503
-1.9081754328650755,-4.8337171770519305
-1.9093814829535778,-4.823985287677717
-1.910956566955676,-4.814661094701449
-1.912501402541154,-4.805376794563233
-1.9138156054889461,-4.794654270533601
-1.9159915113819483,-4.784399679671775
-1.9184845720119854,-4.774076710831035
-1.9203110598492028,-4.763027692433288
-1.9227067267083324,-4.751458536144175
-1.9259290340229995,-4.740751425903802
-1.92921472269595,-4.730026453417511
-1.9324415892278433,-4.719169139786101
-1.9359140778017738,-4.708559325116277
-1.9397382565416033,-4.698303625156358
-1.9432069910435419,-4.687641515135399
-1.9470649509220155,-4.677238787550457
-1.951279628213731,-4.667602127445649
-1.9550439424319355,-4.6574443447961835
-1.9587838444319694,-4.647674993886347
-1.9626147104474436,-4.638288293222507
-1.9665042269115085,-4.629806256655035
-1.9703410359751063,-4.6208744555650005
-1.9737322809635982,-4.613518675749281
-1.9772676224713428,-4.60609616126121
-1.9809334425959764,-4.5983397776160375
-1.9847155017087559,-4.591019712364927
-1.986658383324402,-4.584962212803837
-1.9889275794785097,-4.579210773272524
-1.9909594964348354,-4.573769333232539
-1.9930616113930997,-4.567953528406558
-1.9970286839098628,-4.561551877103909
-2.001110574294076,-4.555337278192298
-2.0050348059984726,-4.548918449377938
-2.009346604177756,-4.543388968307182
-2.01357524128581,-4.538056090813371
-2.017400124834585,-4.531854849108011
-2.021105549370536,-4.526288430102489
-2.02513735631207,-4.520576800882579
-2.02896722503156,-4.51485540208914
-2.0329047262616173,-4.50922843262825
-2.036941846857805,-4.503952485819754
-2.041219848277624,-4.4986006666289065
-2.0446317722602014,-4.493960339954068
-2.048128455096703,-4.488980510962313
-2.0516635210806236,-4.484074695770038
-2.055060478607445,-4.479301426614607
-2.058044442797159,-4.473962634538234
-2.061223004013271,-4.469507962550559
-2.0646326219244706,-4.465100278820277
-2.0676978462082296,-4.460297876064744
-2.0698830826151937,-4.456581835962813
-2.0722245671276256,-4.453720656003632
-2.074642629290487,-4.450534190309023
-2.076598746553796,-4.447607583288204
-2.0797252165504707,-4.44497591212617
-2.0829301206504085,-4.44278933857467
-2.0857788183155277,-4.441136555783983
-2.0890129477097448,-4.439275347156673
-2.0926223070308203,-4.4387534670243936
-2.0959104336260714,-4.438365332165747
-2.0991890048034825,-4.437204278973463
-2.1027274852130144,-4.436766407929673
-2.107096404062986,-4.437202182162179
-2.1114749924496823,-4.4370888504010395
-2.115953393167774,-4.437515004024358
-2.120516685860939,-4.438593169961456
-2.1252775534151076,-4.439606306995183
-2.130310700753112,-4.441713131493873
-2.135504879337744,-4.4439438270129985
-2.140614043602561,-4.445698152548848
-2.1467207127975567,-4.447962120101678
-2.152572185223157,-4.449677782165103
-2.1592459642162134,-4.450886786039778
-2.1662616078389707,-4.453521488763328
-2.1732059129495664,-4.45572350748481
-2.1801267962408675,-4.458321102945107
-2.1875774204788487,-4.461636820939462
-2.194638111678172,-4.4641330187993065
-2.2017640937255765,-4.467010151497902
-2.209487273607895,-4.470684532912139
-2.2155742161345966,-4.4752218177318115
-2.221377409579479,-4.480847090438984
-2.2277219098800116,-4.486423348882213
-2.2344453263189847,-4.491698110390103
-2.2409121515370387,-4.4975894726247585
-2.246952882318892,-4.503437222367438
-2.252179799212959,-4.5097613221603225
-2.2577010715964962,-4.517454912586517
-2.263170614190382,-4.524472429992769
-2.268458650218005,-4.531923516436615
-2.2738470262667927,-4.540271517993786
-2.2790122015498824,-4.547956138374648
-2.284271816029875,-4.556091618713343
-2.289761860532232,-4.565005577604641
-2.2943159665034205,-4.573788354565274
-2.2990063456389014,-4.58290144609881
-2.303964726995345,-4.5924824438829495
-2.308563464735981,-4.601652574696437
-2.313336167304701,-4.611947103632917
-2.3178937595172466,-4.621894754124841
-2.3225424054955104,-4.63127835044015
-2.3269400022024196,-4.641534803692708
-2.329777278356755,-4.6517372912115835
-2.3328559613349014,-4.662154940771852
-2.3354497477243323,-4.673887311846536
-2.3374807699381877,-4.684295213859726
-2.338918388916156,-4.694645517829112
-2.3405834898117606,-4.705840765017012
-2.3414783415736866,-4.7161767712538945
-2.3419593575746576,-4.7269182323951595
-2.3409192081393835,-4.73819699208158
-2.339693069597136,-4.748870753401901
-2.3382690439226574,-4.75930409761148
-2.3359856747599537,-4.76905005679612
-2.3338513711896876,-4.778596749793729
-2.3313318814269315,-4.788430700939553
-2.3280907026862225,-4.797430672324013
-2.324637660770646,-4.805397802565318
-2.320528222666403,-4.814428505176969
-2.316380045286691,-4.8235110377177
-2.3109128681986286,-4.831587322889123
-2.3053534779791227,-4.8400097732620555
-2.299904135651571,-4.848285107250509
-2.293446100951686,-4.85551457315767
-2.286532075685617,-4.862375829589117
-2.279943782285159,-4.868816784140069
-2.2725735658478103,-4.875242062558428
-2.264498178689973,-4.88099436287568
-2.256507026735918,-4.88690659589379
-2.248183120461202,-4.892734666293117
-2.2390442002340754,-4.897676335016947
-2.2297556231898037,-4.902214962401826
-2.219717537981738,-4.907903756903007
-2.2090956064812017,-4.912946699383463
-2.198526519520327,-4.917988825197608
-2.188332229710868,-4.92347497317217
-2.1789818540355266,-4.928378509834536
-2.169111306753435,-4.932819336837054
-2.1591355495597853,-4.937156601269411
-2.1493519830498173,-4.941037035150345
-2.140819131827824,-4.944371817957002
-2.1321748986106606,-4.947592271356028
-2.1232934740052793,-4.950897825802943
